#رقم	الكلمة	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	تأنيث	تثنية	ج. مؤ.س.	ج, مذ, س,	منقوص	تنوين نصب	نسب	إض, لف,	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
2871	تهزم		هزم		مصدر	تهزم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهزم-تهزم [هـ ز م] (مص. تهزم). 1.""تهزم الرعد"" : تصويته. 2"
2872	تهدم		هدم		مصدر	تهدم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهدم-تهدم [هـ د م] (مص. تهدم). 1. ""تهدم البيت"" : تساقط جدرانه. 2. ""التهدم بالكلام"" : التهور."
2873	تهدهد		هدهد		مصدر	تهدهد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								تهدهد-تهدهد [هـ د هـ د] (مص. تهدهد)
2874	تهذب		هذب		مصدر	تهذب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهذب-تهذب [ هـ ذ ب] (مص. تهذب). ""تهذ"
2875	تهرؤ		هرأ		مصدر	تهرأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"تهرؤ-تهرؤ [هـ ر أ] (مص. تهرأ). 1.""تهرؤ اللحم"" : تفتته، تفسخه. "
2876	تهرب		هرب		مصدر	تهرب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهرب-تهرب [هـ ر ب] (مص. تهرب). ""التهرب من المسؤو"
2877	تهرطق		هرط		مصدر	تهرطق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهرطق-تهرطق [هـ ر ط] (مص. تهرطق). ""تهرطق الرج"
2878	تهزؤ		هزأ		مصدر	تهزأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"تهزؤ-تهزؤ [هـ ز أ] (مص. تهزأ). ""التهزؤ بالشيء"" : السخر منه، الهزء به."
2879	تهزج		هزج		مصدر	تهزج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهزج-تهزج [هـ ز ج] (مص. تهزج). 1.""تهزج المغني"": ترنمه. 2. ""تهزج الرعد"" : تصويته وإرعاده. 3.""تهزج الوتر"": تصويته عند تحريكه."
2880	تهزز		هزز		مصدر	تهزز		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهزز-تهزز [هـ ز ز] (مص. تهزز). ""تهزز الشجرة"" : تحركها."
2881	تهور		هور		مصدر	تهور		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهور-تهور [هـ و ر] (مص. تهور). 1. ""تصرف بتهور"" : بمجازفة، بمخاطرة من غير روية. 2. ""تهور الشتاء"" : ذهاب أكثره وانكسار برده."
2882	تهشم		هشم		مصدر	تهشم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهشم-تهشم [هـ ش م] (مص. تهشم). ""تهش"
2883	تهطل		هطل		مصدر	تهطل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهطل-تهطل [هـ ط ل] (مص. تهطل). ""تهطل ا"
2884	تهفهف		هفهف		مصدر	تهفهف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهفهف-تهفهف [هـ ف هـ ف] (مص. تهفهف). ""تهفهف المرأة"" : ق"
2885	تهكم		هكم		مصدر	تهكم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهكم-تهكم [هـ ك م] (مص. تهكم). ""أجابه بتهكم"" : بسخرية، باستهزاء، بتكبر."
2886	تهلل		هلل		مصدر	تهلل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهلل-تهلل [هـ ل ل] (مص. تهلل). 1.""تهلل الوجه"": إشراقه، تلألؤه. 2.""تهلل السحاب بالبرق"": إشراقه، إبراقه. 3.""تهلل العين"": سيل دموعها."
2887	تهلهل		هلهل		مصدر	تهلهل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهلهل-تهلهل [هـ ل هـ ل] (مص. تهلهل). ""تهلهل الثياب"" : صيرها بالية، تفسخها."
2888	تهنؤ		هنأ		مصدر	تهنأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"تهنؤ-تهنؤ [هـ ن أ] (مص. تهنأ). 1. ""تهنؤ الرجل"" : كثرة عطائه. 2. ""التهنؤ بالطعام"" : سوغه ولذته."
2889	تهوج		هوج		مصدر	تهوج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهوج-تهوج [هـ و ج] (مص. تهوج). ""تهوج الحر"" : اشتداده."
2890	تهود		هود		مصدر	تهود		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهود-تهود [هـ و د] (مص. تهود). ""تهود الرجل"" : صيره يهوديا."
2891	تهوس		هوس		مصدر	تهوس		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهوس-تهوس [هـ و س] (مص. تهوس). 1. ""تهوس السائر"": مشيه ثقيلا في أرض لينة. 2. ""تهوس الرجل"" : صير هوس به."
2892	تهوش		هوش		مصدر	تهوش		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهوش-تهوش [هـ و ش] (مص. تهوش). 1. ""تهوش الناس"": اختلاطهم. 2. ""تهوش الناس عليه"" : اجتماعهم عليه."
2893	تهوم		هوم		مصدر	تهوم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهوم-تهوم [هـ و م] (مص. تهوم). 1. ""تهوم الرجل"" : نومه نوما ضعيفا. 2. ""تهوم النائمة"" : هز رأسها من النعاس."
2894	تهيؤ		هيأ		مصدر	تهيأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"تهيؤ-تهيؤ [هـ ي أ] (مص. تهيأ).""التهيؤ لخوض المعركة"": الاستعداد لها بما ينبغي من عدة."
2895	تهيب		هيب		مصدر	تهيب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهيب-تهيب [هـ ي ب] (مص. تهيب). 1. ""تهيب الرئيس"" : الخوف منه. 2. ""سعى إلى تهيبه"" : إلى إفراغه وإضافته."
2896	تهيج		هيج		مصدر	تهيج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهيج-تهيج [هـ ي ج] (مص. تهيج). ""لاحظ تهيجه"" : حدة التأثر والهيجان عنده."
2897	تهيم		هيم		مصدر	تهيم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تهيم-تهيم [هـ ي م] (مص. تهيم). 1. ""تهيم الفتاة"" : مشيها أحسن المشي. 2. ""بلغ تهيم حبه لها حدا أقصى"" : بلوغه هياما شديدا. 3. ""استطاعت أن تجعل تهيمه بها أمرا ملموسا"" : دفعها إياه إلى حبها حبا شديدا."
2898	تواؤم		وأم		مصدر	تواءم		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"تواؤم-تواؤم [و أ م] (مص. تواءم). 1. ""رغب في التواؤم معه"" : في التوافق والتناسب معه. 2. ""تواؤم الأنغام"" : توافقها، انسجامها."
2899	تواتر		وتر		مصدر	تواتر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تواتر-تواتر [و ت ر] (مص. تواتر). ""تواتر الأخبار"": تواليها، تتابعها."
2900	تواثب		وثب		مصدر	تواثب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تواثب-تواثب [و ث ب] (مص. تواثب). ""تواثب الأولاد"": وثوب بعضهم على بعض."
2901	تواجد		وجد		مصدر	تواجد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تواجد-تواجد [و ج د] (مص. تواجد). ""تواجد المرأة"" : تظاهرها بالوجد."
2902	تواجه		وجه		مصدر	تواجه		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تواجه-تواجه [و ج هـ] (مص. تواجه). ""تواجه الخصمين"": تقابلهما وجها لوجه."
2903	تواد		ودد		مصدر	تواد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تواد-تواد [و د د] (مص. تواد). ""تواد الصديقين"" : تحابهما حبا جما."
2904	توادع		ودع		مصدر	توادع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توادع-توادع [و د ع] (مص. توادع). 1. ""توادع الصديقين"""
2905	توارث		ورث		مصدر	توارث		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توارث-توارث [و ر ث] (مص. توارث). ""توارث أملاك العائلة"" : إرثها."
2906	توارد		ورد		مصدر	توارد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توارد-توارد [و ر د] (مص. توارد). 1. ""توارد الجمهور"" : حضوره بالتوالي. 2. ""توارد الماء"" : وروده، بلوغه. 3.""توارد الأفكار"" : اتفاقها من غير نقل ولا سماع. ""توارد الخواطر""."
2907	تواري		وري		مصدر	توارى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn									"توار-توار، التواري [و ري] (مص. توارى). 1. ""التواري خلف الأشجار"" : الاختفاء، الاستتار. 2. ""تواري الشمس"" : اختفاؤها في مغربها، غروبها."
2908	توازن		وزن		مصدر	توازن		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توازن-توازن [و زن] (مص. توازن). 1. ""تميزت المباراة بتوازن قوة الفريقين"" : بتساويها، بتعادلها. 2. ""فقد توازنه ف"
2909	توازي		تواز		مصدر	توازى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn									"تواز-تواز، التوازي (مص. توازى). ""توازي الخطين"" : تكون بعد واحد قائم بينهما في جميع الجهات."
2910	تواصف		وصف		مصدر	تواصف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تواصف-تواصف [و ص ف] (مص. تواصف). ""تواصف المناظر"" : تبادل وصفها."
2911	تواقف		وقف		مصدر	تواقف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تواقف-تواقف [و ق ف] (مص. تواقف). ""تواقف المناضلين في الكفاح"" : وقوف بعضهم مع بعض."
2912	تواصل		وصل		مصدر	تواصل		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"تواصل-تواصل [و ص ل] (مص. تواصل). 1. ""تواصل الحبيبين"" : مواصلة أحدهما للآخر في اتفاق ووئام. 2. ""تواصل الحديث"" : تواليه."
2913	تواصي		وصي		مصدر	تواصى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn									"تواص-تواص، التواصي [و ص ي] (مص. تواصى). ""التواصي بالصبر"" : التوصية."
2914	تواضع		وضع		مصدر	تواضع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تواضع-تواضع [و ض ع] (مص. تواضع). ""عرف بتواضعه الجم"" : إظهار الحشمة وعدم التكبر والتعظم. ""التواضع معنى ينتظم به جماع الخير والتواضع عقيب الكبر"". (الجاحظ)."
2915	تواطؤ		وطأ		مصدر	تواطأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"تواطؤ-تواطؤ [و ط أ] (مص. تواطأ). 1. ""تواطؤ القوم"" : توافقهم. 2. ""ذهب"
2916	تواعد		وعد		مصدر	تواعد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تواعد-تواعد [و ع د] (مص. تواعد). 1. ""تواعد الأصدقاء على الصدق"" : وعد بعضهم بعضا. 2. ""التواعد على اللقاء مساء"" : تحديد موعد."
2917	توافد		وفد		مصدر	توافد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توافد-توافد [و ف د] (مص. توافد). ""لم يكن توافد الوفود إلا تعبيرا عن الفرح"" : تقاطرهم، تواردهم."
2918	توافر		وفر		مصدر	توافر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توافر-توافر [و ف ر] (مص. توافر). ""ينتظر توافر المال لينجز مشروعه"" : تجميعه بكثرة."
2919	توافق		وفق		مصدر	توافق		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"توافق-توافق [و ف ق] (مص. توافق). ""بين"
2920	تواقح		وقح		مصدر	تواقح		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تواقح-تواقح [و ق ح] (مص. تواقح). ""تواقح المرأة"" : تظاهرها بالوقاحة."
2921	توجد		وجد		مصدر	توجد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توجد-توجد [و ج د] (مص. توجد). 1. ""أحس بتوجد لما رأى صاحبه في محنة"" : بحزن. 2. ""لم يستطع إخفاء توجده بها"" : حبه لها. 3. ""توجد أمر"" : شكواه."
2922	تواكل		وكل		مصدر	تواكل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تواكل-تواكل [و ك ل] (مص. تواكل). ""تركه التواكل في خمول"" : الاستسلام، الاتكال على الغير."
2923	توالد		ولد		مصدر	توالد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توالد-توالد [و ل د] (مص. توالد). ""شعب في توالد مستمر"" : في تكاثر."
2924	توالي		ولي		مصدر	توالى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn									"توال-توال، التوالي [و ل ي] (مص. توالى). ""استطاع مع توالي الأيام أن يحقق أهدافه"" : مع مرورها، تتابعها."
2925	تواني		وني		مصدر	توانى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn									"توان-توان، التواني [و ن ي] (مص. توانى). ""التواني في العم"
2926	تواهب		وهب		مصدر	تواهب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تواهب-تواهب [و هـ ب] (مص. تواهب). ""تواهب الناس"": وهب بعضهم لبعض."
2927	توتر		وتر		مصدر	توتر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توتر-توتر [و ت ر] (مص. توتر). 1. ""توتر الأعصاب"" : اشتدادها وتعصبها. 2. ""توتر العلاقات"" : عندما تصل العلاقات إلى مرحلة القطيعة والإساءة."
2928	توثب		وثب		مصدر	توثب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توثب-توثب [و ث ب] (مص. توثب). 1. ""بارع في التواثب"" : في القفز. 2. ""التوثب عليه في الأرض"" : الاستيلاء عليها."
2929	توثق		وثق		مصدر	توثق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توثق-توثق [و ث ق] (مص. توثق). ""توثق عرى الصداقة"": تقويها، تثبتها."
2930	توجب		وجب		مصدر	توجب		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توجب-توجب [و ج ب] (مص. توجب). ""من عادته التوجب"" : أكل وجبة واحدة في اليوم والليلة."
2931	تودع		ودع		مصدر	تودع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تودع-تودع [و د ع] (مص. تودع). ""تودع الأصدقاء"" : توديع بعضهم بعضا."
2932	توجس		وجس		مصدر	توجس		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توجس-توجس [و ج س] (مص. توجس). 1. ""توجس صوت"": تسمعه. 2. ""كان توجسه كبيرا"" : تخوفه، إحساسه بالخوف."
2933	توجع		وجع		مصدر	توجع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توجع-توجع [و ج ع] (مص. توجع). ""اشتد توجع المريض"": التفجع، التشكي."
2934	توجه		وجه		مصدر	توجه		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توجه-توجه [و ج هـ] (مص. توجه). ""التوجه نحو الباب"": السير نحو الباب."
2935	توحد		وحد		مصدر	توحد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توحد-توحد [و ح د] (مص. توحد). 1. ""توحده بموقفه"": انفراده ب"
2936	توحش		وحش		مصدر	توحش		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توحش-توحش [و ح ش] (مص. توحش). ""في تصرفه توحش"" : شراسة، وحشية، خشونة."
2937	توحل		وحل		مصدر	توحل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توحل-توحل [و ح ل] (مص. توحل). 1. ""توحل شارع"" : صيره"
2938	توحم		وحم		مصدر	توحم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توحم-توحم [و ح م] (مص. توحم). ""توحم المرأة ال"
2939	توخي		وخي		مصدر	توخى		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توخ-توخ، التوخي [و خ ي] (مص. توخى). 1. ""توخي الأهداف المرسومة"" : تطلبها، قصدها. 2. ""من الأمور"
2940	تودد		ودد		مصدر	تودد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تودد-تودد [و د د] (مص. تودد). 1. ""تودد المودة"""
2941	توسع		وسع		مصدر	توسع		مذكر			مفرد	+ات			DnN	Pf			Tn	Rp								"توسع-توسع [و س ع] (مص. توسع). 1.""توسع الجماعة في المجلس"" : التفسح فيه. 2. ""توسع المدينة"" : اتساعها، كبرها. 3. ""التوسع في النفقة"" : الإكثار منها، بسط اليد فيها."
2942	تورد		ورد		مصدر	تورد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تورد-تورد [و ر د] (مص. تورد). 1. ""تورد الخد"" : احمراره وصيره بلون الورد. 2. ""تورد الإبل الماء"" : بلوغها إياه."
2943	تورط		ورط		مصدر	تورط		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تورط-تورط [و ر ط] (مص. تورط). ""أوقعه في تورط لا مخرج م"
2944	تورع		ورع		مصدر	تورع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تورع-تورع [و ر ع] (مص. تورع). ""التور"
2945	تورك		ورك		مصدر	تورك		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تورك-تورك [و ر ك] (مص. تورك). 1. ""تورك الرجل"" : اعتماده على وركه. 2. ""تورك المصلي"" : وضع يديه على وركيه. 3. ""التورك على العمل"" : القدرة عليه. 4. ""التورك عن الحاجة"" : التباطؤ، التأخر، التواني."
2946	تورم		ورم		مصدر	تورم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تورم-تورم [و ر م] (مص. تورم). ""تورم الجلد"" : انتفاخه."
2947	توزر		وزر		مصدر	توزر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توزر-توزر [و ز ر] (مص. توزر). 1. ""طلب منه التوزرل"
2948	توزع		وزع		مصدر	توزع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توزع-توزع [و ز ع] (مص. توزع). 1."" توزع الغنيمة"" : تفرقها. 2. ""توزع المتحارب"
2949	توسخ		وسخ		مصدر	توسخ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								توسخ-توسخ [و س خ] (مص. توسخ).
2950	توسد		وسد		مصدر	توسد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توسد-توسد [و س د] (مص. توسد). 1. ""توسد الوسادة"": وض"
2951	توطد		وطد		مصدر	توطد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توطد-توطد [و ط د] (مص. توطد). ""توطد دعائم السلطة"": تثبتها، ترسخها."
2952	توسل		وسل		مصدر	توسل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توسل-توسل [و س ل] (مص. توسل). ""رفع أكفه توسلا إلى الله"" : ابتهالا، تقربا، استشفاعا. ""لم يبق أمامه إلا التوسل إلى الله وأنبيائه""."
2953	توسم		وسم		مصدر	توسم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توسم-توسم [و س م] (مص. توسم). ""توسم الخير في الرجل"" : توقعه، تبين أثره فيه."
2954	توسن		وسن		مصدر	توسن		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توسن-توسن [و س ن] (مص. توسن). """
2955	توشح		وشح		مصدر 	توشح		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توشح-توشح [و ش ح] (مص توشح). 1.""توشح القائد"":"
2956	توشوش		وشوش		مصدر	توشوش		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توشوش-توشوش [و ش وش] (مص. توشوش). """
2957	توشي		وشي		مصدر	توشى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn									توش-توش، التوشي [و ش ي] (مص. توشى).
2958	توصل		وصل		مصدر	توصل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توصل-توصل [و ص ل] (مص. توصل). 1. ""يحاول التوصل إلى حل مشاكله"" : الانتهاء، البلوغ إلى حلها. 2.""التوصل بإيصال الكراء"" : تسلمه. 3. ""التوصل إليه"" : التوسط، التقرب، التوسل."
2959	توضؤ		وضأ		مصدر	توضأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"توضؤ-توضؤ [و ض أ] (مص. توضأ). ""التوضؤ للصلاة"" : الاغتسال، أداء شعيرة الوضوء."
2960	توضح		وضح		مصدر	توضح		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توضح-توضح [و ض ح] (مص. توضح). 1. ""توضح الصورة"" : اتضاحها، بر"
2961	توفي		وفي		مصدر	توفى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn									"توف-توف، التوفي [و ف ي] (مص. توفى). ""توفي الحق"": أخذه كاملا، وافيا."
2962	توطن		وطن		مصدر	توطن		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توطن-توطن [و ط ن] (مص. توطن). 1. ""التوطن في بلاد"": ا"
2963	توظف		وظف		مصدر	توظف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توظف-توظف [و ظ ف] (مص. توظف). ""يريد التوظف في المؤسسة"" : الحصول على وظيفة، تولي وظيفة."
2964	توعد		وعد		مصدر	توعد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توعد-توعد [و ع د] (مص. توعد). ""لم يفهم سبب توعده"": تهدده."
2965	توعر		وعر		مصدر	توعر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توعر-توعر [و ع ر] (مص. توعر). 1. ""توعر الطريق"" : صعوبته، تعسره. 2"
2966	توعك		وعك		مصدر	توعك		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توعك-توعك [و ع ك] (مص. توعك). ""أصابه تو"
2967	توغر		وغر		مصدر	توغر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توغر-توغر [و غ ر] (مص. توغر). ""توغ"
2968	توغل		وغل		مصدر	توغل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توغل-توغل [و غ ل] (مص. توغل). 1. ""نبهه من التوغل في الغابة"" : من ولـوج أدغالها."
2969	توفر		وفر		مصدر	توفر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توفر-توفر [و ف ر] (مص. توفر). 1.""التوفر على أعمال الخير"": صرف الهمة إليها. 2. "
2970	توفق		وفق		مصدر	توفق		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توفق-توفق [و ف ق] (مص. توفق). 1. ""التوفق في العمل"": النجاح فيه. 2. ""تو"
2971	تولج		ولج		مصدر	تولج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تولج-تولج [و ل ج] (مص. تولج). 1.""التولج في الدار"" : الدخول فيها. ""التولج عليه"". 2. ""كان أهلا لتولج المسؤولية"" : لتسلمها، القيام بها."
2972	توقح		وقح		مصدر	توقح		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توقح-توقح [و ق ح] (مص. توقح). 1. ""توقح الولد"" : قلة حيائه. 2. ""توقح الحرارة"" : اشتدادها."
2973	توقد		وقد		مصدر	توقد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توقد-توقد [و ق د] (مص. توقد). 1. ""توقد النار"" : اشتعالها. 2. ""توقد الذهن"" : تنبهه، صيره ذكيا، نابها. 3.""توقده نارا"" : إشعاله النار. 4. ""توقد الكواكب"" : تلألؤها."
2974	توقر		وقر		مصدر	توقر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توقر-توقر [و ق ر] (مص. توقر). توقر الرجل"" : صيره وقورا، رزينا."
2975	توقع		وقع		مصدر	توقع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توقع-توقع [و ق ع] (مص. توقع). ""كان توقعه في غير مكانه"" : ترقبه، تكهنه، تحسبه. ""توقعا لكل احتمال""."
2976	توقف		وقف		مصدر	توقف		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توقف-توقف [و ق ف] (مص. توقف). 1. ""أعلن العمال التوقف عن العمل"" : الإضراب، الامتناع عن"
2977	توقي		وقي		مصدر	توقى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn									"توق-توق، التوقي [و ق ي] (مص. توقى). 1.""توق"
2978	توكؤ		وكأ		مصدر	توكأ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"توكؤ-توكؤ [و ك أ] (مص. توكأ). ""التوك"
2979	توكد		وكد		مصدر	توكد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توكد-توكد [و ك د] (مص. توكد). ""توكد الشيء"" : توثقه، اشتداده."
2980	توكل		وكل		مصدر	توكل		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توكل-توكل [و ك ل] (مص. توكل). 1. ""التوكل على الله"": الاعتماد على الله. 2. ""قبل توكله له بالنجاح شريطة اجتهاده"" : التكفل له. 3. ""قبل التوكل بأموره"" : ضمان القيام بها، 4. ""التوكل في الأمر"" : إظهار العجز."
2981	توهن		وهن		مصدر	توهن		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توهن-توهن[و هـ ن] (مص. توهن). ""توهن الرجل"": ضعفه وذهاب قوته وصحته."
2982	تولد		ولد		مصدر	تولد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تولد-تولد [و ل د] (مص. تولد). ""تولد الجراثيم"" : نشأتها، تناسلها."
2983	تولع		ولع		مصدر	تولع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تولع-تولع [و ل ع] (مص. تولع). ""تولعه بلعبة الش"
2984	توله		وله		مصدر	توله		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توله-توله [و ل هـ] (مص. توله).1. ""توله الرجل"" : اشتداد حز"
2985	تولول		ولول		مصدر	تولول		مذكر			مفرد	+ات			DnN	Pf			Tn	R								تولول-تولول [و ل و ل] (مص. تولو
2986	تولي		ولي		مصدر	تولى		مذكر			مفرد	+ات			DnN	Pf		Tk	Tn									"تول-تول، التولي [و ل ي] (مص. تولى). 1. ""اتفقوا على توليه حكم البلاد"" : تقلده. 2. ""أظهر بغضبه توليه عنه"": إعراضه"
2987	تتويه		توه		مصدر	توه		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تتويه-تتويه [ت و هـ] (مص. توه). 1.""كان تتويه صاحبه عن عمد"" : جعله يضل ا"
2988	توهج		وهج		مصدر	توهج		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توهج-توهج [و هـ ج] (مص. توهج). 1.""توهج النيران"": توقدها. 2.""توهج وجهه"" : إضاءته، نضارته. "
2989	توهد		وهد		مصدر	توهد		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توهد-توهد [و هـ د] (مص. توهد). ""توهد الفراش"" : تمهده."
2990	توهم		وهم		مصدر	توهم		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"توهم-توهم [و هـ م] (مص. توهم). 1.""توهم مرض"" : توقعه، ظنه. ""الريب والشك والظن والت"
2991	تياسر		يسر		مصدر	تياسر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تياسر-تياسر [ي س ر] (مص. تياسر). 1.""التياسر في الطريق"" : السير في جهة اليسار. 2.""التياسر في الأمر"" : التساهل فيه. 3.""التياسر في المواقف السياسية"" : التطرف فيها، التعصب لها."
2992	تيامن		يمن		مصدر	تيامن		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تيامن-تيامن [ي م ن] (مص. تيامن). ""التيامن في الطريق"" : السير في جهة اليمين."
2993	تيسر		يسر		مصدر	تيسر		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تيسر-تيسر [ي س ر] (مص. تيسر). 1.""تيسر الأمور"" : تسهلها. 2.""التيسر للمعركة"" : التهيؤ لها."
2994	تيفع		يفع		مصدر	تيفع		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تيفع-تيفع [ي ف ع] (مص. تيفع). ""تيفع الغلام"" : مقاربته البلوغ، ترعرعه."
